"Label (Grouping)","Boone County, Missouri!!Total!!Estimate","Boone County, Missouri!!Total!!Margin of Error","Boone County, Missouri!!Percent!!Estimate","Boone County, Missouri!!Percent!!Margin of Error","Boone County, Missouri!!Male!!Estimate","Boone County, Missouri!!Male!!Margin of Error","Boone County, Missouri!!Percent Male!!Estimate","Boone County, Missouri!!Percent Male!!Margin of Error","Boone County, Missouri!!Female!!Estimate","Boone County, Missouri!!Female!!Margin of Error","Boone County, Missouri!!Percent Female!!Estimate","Boone County, Missouri!!Percent Female!!Margin of Error","Buchanan County, Missouri!!Total!!Estimate","Buchanan County, Missouri!!Total!!Margin of Error","Buchanan County, Missouri!!Percent!!Estimate","Buchanan County, Missouri!!Percent!!Margin of Error","Buchanan County, Missouri!!Male!!Estimate","Buchanan County, Missouri!!Male!!Margin of Error","Buchanan County, Missouri!!Percent Male!!Estimate","Buchanan County, Missouri!!Percent Male!!Margin of Error","Buchanan County, Missouri!!Female!!Estimate","Buchanan County, Missouri!!Female!!Margin of Error","Buchanan County, Missouri!!Percent Female!!Estimate","Buchanan County, Missouri!!Percent Female!!Margin of Error","Cape Girardeau County, Missouri!!Total!!Estimate","Cape Girardeau County, Missouri!!Total!!Margin of Error","Cape Girardeau County, Missouri!!Percent!!Estimate","Cape Girardeau County, Missouri!!Percent!!Margin of Error","Cape Girardeau County, Missouri!!Male!!Estimate","Cape Girardeau County, Missouri!!Male!!Margin of Error","Cape Girardeau County, Missouri!!Percent Male!!Estimate","Cape Girardeau County, Missouri!!Percent Male!!Margin of Error","Cape Girardeau County, Missouri!!Female!!Estimate","Cape Girardeau County, Missouri!!Female!!Margin of Error","Cape Girardeau County, Missouri!!Percent Female!!Estimate","Cape Girardeau County, Missouri!!Percent Female!!Margin of Error","Cass County, Missouri!!Total!!Estimate","Cass County, Missouri!!Total!!Margin of Error","Cass County, Missouri!!Percent!!Estimate","Cass County, Missouri!!Percent!!Margin of Error","Cass County, Missouri!!Male!!Estimate","Cass County, Missouri!!Male!!Margin of Error","Cass County, Missouri!!Percent Male!!Estimate","Cass County, Missouri!!Percent Male!!Margin of Error","Cass County, Missouri!!Female!!Estimate","Cass County, Missouri!!Female!!Margin of Error","Cass County, Missouri!!Percent Female!!Estimate","Cass County, Missouri!!Percent Female!!Margin of Error","Christian County, Missouri!!Total!!Estimate","Christian County, Missouri!!Total!!Margin of Error","Christian County, Missouri!!Percent!!Estimate","Christian County, Missouri!!Percent!!Margin of Error","Christian County, Missouri!!Male!!Estimate","Christian County, Missouri!!Male!!Margin of Error","Christian County, Missouri!!Percent Male!!Estimate","Christian County, Missouri!!Percent Male!!Margin of Error","Christian County, Missouri!!Female!!Estimate","Christian County, Missouri!!Female!!Margin of Error","Christian County, Missouri!!Percent Female!!Estimate","Christian County, Missouri!!Percent Female!!Margin of Error","Clay County, Missouri!!Total!!Estimate","Clay County, Missouri!!Total!!Margin of Error","Clay County, Missouri!!Percent!!Estimate","Clay County, Missouri!!Percent!!Margin of Error","Clay County, Missouri!!Male!!Estimate","Clay County, Missouri!!Male!!Margin of Error","Clay County, Missouri!!Percent Male!!Estimate","Clay County, Missouri!!Percent Male!!Margin of Error","Clay County, Missouri!!Female!!Estimate","Clay County, Missouri!!Female!!Margin of Error","Clay County, Missouri!!Percent Female!!Estimate","Clay County, Missouri!!Percent Female!!Margin of Error","Cole County, Missouri!!Total!!Estimate","Cole County, Missouri!!Total!!Margin of Error","Cole County, Missouri!!Percent!!Estimate","Cole County, Missouri!!Percent!!Margin of Error","Cole County, Missouri!!Male!!Estimate","Cole County, Missouri!!Male!!Margin of Error","Cole County, Missouri!!Percent Male!!Estimate","Cole County, Missouri!!Percent Male!!Margin of Error","Cole County, Missouri!!Female!!Estimate","Cole County, Missouri!!Female!!Margin of Error","Cole County, Missouri!!Percent Female!!Estimate","Cole County, Missouri!!Percent Female!!Margin of Error","Franklin County, Missouri!!Total!!Estimate","Franklin County, Missouri!!Total!!Margin of Error","Franklin County, Missouri!!Percent!!Estimate","Franklin County, Missouri!!Percent!!Margin of Error","Franklin County, Missouri!!Male!!Estimate","Franklin County, Missouri!!Male!!Margin of Error","Franklin County, Missouri!!Percent Male!!Estimate","Franklin County, Missouri!!Percent Male!!Margin of Error","Franklin County, Missouri!!Female!!Estimate","Franklin County, Missouri!!Female!!Margin of Error","Franklin County, Missouri!!Percent Female!!Estimate","Franklin County, Missouri!!Percent Female!!Margin of Error","Greene County, Missouri!!Total!!Estimate","Greene County, Missouri!!Total!!Margin of Error","Greene County, Missouri!!Percent!!Estimate","Greene County, Missouri!!Percent!!Margin of Error","Greene County, Missouri!!Male!!Estimate","Greene County, Missouri!!Male!!Margin of Error","Greene County, Missouri!!Percent Male!!Estimate","Greene County, Missouri!!Percent Male!!Margin of Error","Greene County, Missouri!!Female!!Estimate","Greene County, Missouri!!Female!!Margin of Error","Greene County, Missouri!!Percent Female!!Estimate","Greene County, Missouri!!Percent Female!!Margin of Error","Jackson County, Missouri!!Total!!Estimate","Jackson County, Missouri!!Total!!Margin of Error","Jackson County, Missouri!!Percent!!Estimate","Jackson County, Missouri!!Percent!!Margin of Error","Jackson County, Missouri!!Male!!Estimate","Jackson County, Missouri!!Male!!Margin of Error","Jackson County, Missouri!!Percent Male!!Estimate","Jackson County, Missouri!!Percent Male!!Margin of Error","Jackson County, Missouri!!Female!!Estimate","Jackson County, Missouri!!Female!!Margin of Error","Jackson County, Missouri!!Percent Female!!Estimate","Jackson County, Missouri!!Percent Female!!Margin of Error","Jasper County, Missouri!!Total!!Estimate","Jasper County, Missouri!!Total!!Margin of Error","Jasper County, Missouri!!Percent!!Estimate","Jasper County, Missouri!!Percent!!Margin of Error","Jasper County, Missouri!!Male!!Estimate","Jasper County, Missouri!!Male!!Margin of Error","Jasper County, Missouri!!Percent Male!!Estimate","Jasper County, Missouri!!Percent Male!!Margin of Error","Jasper County, Missouri!!Female!!Estimate","Jasper County, Missouri!!Female!!Margin of Error","Jasper County, Missouri!!Percent Female!!Estimate","Jasper County, Missouri!!Percent Female!!Margin of Error","Jefferson County, Missouri!!Total!!Estimate","Jefferson County, Missouri!!Total!!Margin of Error","Jefferson County, Missouri!!Percent!!Estimate","Jefferson County, Missouri!!Percent!!Margin of Error","Jefferson County, Missouri!!Male!!Estimate","Jefferson County, Missouri!!Male!!Margin of Error","Jefferson County, Missouri!!Percent Male!!Estimate","Jefferson County, Missouri!!Percent Male!!Margin of Error","Jefferson County, Missouri!!Female!!Estimate","Jefferson County, Missouri!!Female!!Margin of Error","Jefferson County, Missouri!!Percent Female!!Estimate","Jefferson County, Missouri!!Percent Female!!Margin of Error","Platte County, Missouri!!Total!!Estimate","Platte County, Missouri!!Total!!Margin of Error","Platte County, Missouri!!Percent!!Estimate","Platte County, Missouri!!Percent!!Margin of Error","Platte County, Missouri!!Male!!Estimate","Platte County, Missouri!!Male!!Margin of Error","Platte County, Missouri!!Percent Male!!Estimate","Platte County, Missouri!!Percent Male!!Margin of Error","Platte County, Missouri!!Female!!Estimate","Platte County, Missouri!!Female!!Margin of Error","Platte County, Missouri!!Percent Female!!Estimate","Platte County, Missouri!!Percent Female!!Margin of Error","St. Charles County, Missouri!!Total!!Estimate","St. Charles County, Missouri!!Total!!Margin of Error","St. Charles County, Missouri!!Percent!!Estimate","St. Charles County, Missouri!!Percent!!Margin of Error","St. Charles County, Missouri!!Male!!Estimate","St. Charles County, Missouri!!Male!!Margin of Error","St. Charles County, Missouri!!Percent Male!!Estimate","St. Charles County, Missouri!!Percent Male!!Margin of Error","St. Charles County, Missouri!!Female!!Estimate","St. Charles County, Missouri!!Female!!Margin of Error","St. Charles County, Missouri!!Percent Female!!Estimate","St. Charles County, Missouri!!Percent Female!!Margin of Error","St. Francois County, Missouri!!Total!!Estimate","St. Francois County, Missouri!!Total!!Margin of Error","St. Francois County, Missouri!!Percent!!Estimate","St. Francois County, Missouri!!Percent!!Margin of Error","St. Francois County, Missouri!!Male!!Estimate","St. Francois County, Missouri!!Male!!Margin of Error","St. Francois County, Missouri!!Percent Male!!Estimate","St. Francois County, Missouri!!Percent Male!!Margin of Error","St. Francois County, Missouri!!Female!!Estimate","St. Francois County, Missouri!!Female!!Margin of Error","St. Francois County, Missouri!!Percent Female!!Estimate","St. Francois County, Missouri!!Percent Female!!Margin of Error","St. Louis County, Missouri!!Total!!Estimate","St. Louis County, Missouri!!Total!!Margin of Error","St. Louis County, Missouri!!Percent!!Estimate","St. Louis County, Missouri!!Percent!!Margin of Error","St. Louis County, Missouri!!Male!!Estimate","St. Louis County, Missouri!!Male!!Margin of Error","St. Louis County, Missouri!!Percent Male!!Estimate","St. Louis County, Missouri!!Percent Male!!Margin of Error","St. Louis County, Missouri!!Female!!Estimate","St. Louis County, Missouri!!Female!!Margin of Error","St. Louis County, Missouri!!Percent Female!!Estimate","St. Louis County, Missouri!!Percent Female!!Margin of Error","St. Louis city, Missouri!!Total!!Estimate","St. Louis city, Missouri!!Total!!Margin of Error","St. Louis city, Missouri!!Percent!!Estimate","St. Louis city, Missouri!!Percent!!Margin of Error","St. Louis city, Missouri!!Male!!Estimate","St. Louis city, Missouri!!Male!!Margin of Error","St. Louis city, Missouri!!Percent Male!!Estimate","St. Louis city, Missouri!!Percent Male!!Margin of Error","St. Louis city, Missouri!!Female!!Estimate","St. Louis city, Missouri!!Female!!Margin of Error","St. Louis city, Missouri!!Percent Female!!Estimate","St. Louis city, Missouri!!Percent Female!!Margin of Error"
"Total population","185,840","*****","(X)","(X)","90,389","±1,138","(X)","(X)","95,451","±1,138","(X)","(X)","83,853","*****","(X)","(X)","42,635","±882","(X)","(X)","41,218","±882","(X)","(X)","82,113","*****","(X)","(X)","40,208","±698","(X)","(X)","41,905","±698","(X)","(X)","109,638","*****","(X)","(X)","53,962","±1,031","(X)","(X)","55,676","±1,031","(X)","(X)","91,499","*****","(X)","(X)","43,859","±708","(X)","(X)","47,640","±708","(X)","(X)","255,518","*****","(X)","(X)","126,698","±914","(X)","(X)","128,820","±914","(X)","(X)","77,205","*****","(X)","(X)","38,744","±929","(X)","(X)","38,461","±929","(X)","(X)","105,231","*****","(X)","(X)","52,479","±517","(X)","(X)","52,752","±517","(X)","(X)","300,865","*****","(X)","(X)","147,266","±887","(X)","(X)","153,599","±887","(X)","(X)","716,862","*****","(X)","(X)","348,277","±795","(X)","(X)","368,585","±795","(X)","(X)","123,155","*****","(X)","(X)","59,997","±766","(X)","(X)","63,158","±766","(X)","(X)","227,771","*****","(X)","(X)","114,195","±903","(X)","(X)","113,576","±903","(X)","(X)","108,569","*****","(X)","(X)","53,490","±500","(X)","(X)","55,079","±500","(X)","(X)","409,981","*****","(X)","(X)","202,170","±548","(X)","(X)","207,811","±548","(X)","(X)","67,541","*****","(X)","(X)","34,653","±865","(X)","(X)","32,888","±865","(X)","(X)","997,187","*****","(X)","(X)","476,491","±589","(X)","(X)","520,696","±589","(X)","(X)","293,310","*****","(X)","(X)","143,041","±785","(X)","(X)","150,269","±785","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","9,881","±401","5.3%","±0.2","5,003","±575","5.5%","±0.6","4,878","±546","5.1%","±0.5","5,069","±654","6.0%","±0.8","2,521","±413","5.9%","±1.0","2,548","±486","6.2%","±1.1","4,659","±411","5.7%","±0.5","2,388","±293","5.9%","±0.7","2,271","±410","5.4%","±0.9","6,298","±428","5.7%","±0.4","3,045","±166","5.6%","±0.3","3,253","±468","5.8%","±0.8","5,367","±271","5.9%","±0.3","2,474","±198","5.6%","±0.1","2,893","±271","6.1%","±0.5","15,450","±400","6.0%","±0.2","8,124","±455","6.4%","±0.4","7,326","±239","5.7%","±0.2","4,256","±733","5.5%","±0.9","2,286","±534","5.9%","±1.3","1,970","±600","5.1%","±1.5","6,081","±375","5.8%","±0.4","3,101","±250","5.9%","±0.5","2,980","±345","5.6%","±0.6","16,385","±313","5.4%","±0.1","8,722","±616","5.9%","±0.4","7,663","±665","5.0%","±0.4","44,312","±6","6.2%","±0.1","22,590","±100","6.5%","±0.1","21,722","±100","5.9%","±0.1","7,627","±325","6.2%","±0.3","3,738","±476","6.2%","±0.7","3,889","±580","6.2%","±0.9","13,333","±793","5.9%","±0.3","6,465","±455","5.7%","±0.4","6,868","±739","6.0%","±0.6","5,901","±355","5.4%","±0.3","2,929","±343","5.5%","±0.6","2,972","±427","5.4%","±0.8","22,436","*****","5.5%","*****","10,927","±504","5.4%","±0.2","11,509","±504","5.5%","±0.2","3,442","±260","5.1%","±0.4","1,086","±696","3.1%","±1.9","2,356","±738","7.2%","±2.1","56,832","±171","5.7%","±0.1","28,954","±584","6.1%","±0.1","27,878","±560","5.4%","±0.1","17,038","±380","5.8%","±0.1","8,971","±371","6.3%","±0.2","8,067","±350","5.4%","±0.2"
"        5 to 9 years","12,074","±1,643","6.5%","±0.9","6,874","±1,076","7.6%","±1.2","5,200","±1,306","5.4%","±1.3","5,575","±813","6.6%","±1.0","3,176","±669","7.4%","±1.5","2,399","±648","5.8%","±1.5","4,017","±723","4.9%","±0.9","2,361","±584","5.9%","±1.5","1,656","±501","4.0%","±1.2","6,410","±1,148","5.8%","±1.0","3,459","±760","6.4%","±1.4","2,951","±810","5.3%","±1.4","6,178","±1,124","6.8%","±1.2","3,370","±654","7.7%","±1.5","2,808","±951","5.9%","±2.0","15,639","±1,979","6.1%","±0.8","8,411","±1,313","6.6%","±1.0","7,228","±1,182","5.6%","±0.9","3,382","±844","4.4%","±1.1","2,047","±698","5.3%","±1.7","1,335","±516","3.5%","±1.3","6,932","±1,154","6.6%","±1.1","3,350","±941","6.4%","±1.8","3,582","±714","6.8%","±1.3","16,971","±1,993","5.6%","±0.7","9,251","±1,616","6.3%","±1.1","7,720","±1,233","5.0%","±0.8","47,370","±2,926","6.6%","±0.4","25,616","±2,159","7.4%","±0.6","21,754","±2,094","5.9%","±0.6","7,925","±1,102","6.4%","±0.9","4,023","±853","6.7%","±1.4","3,902","±832","6.2%","±1.3","13,680","±1,523","6.0%","±0.7","6,099","±1,197","5.3%","±1.1","7,581","±1,145","6.7%","±1.0","6,839","±1,065","6.3%","±1.0","3,254","±640","6.1%","±1.2","3,585","±735","6.5%","±1.3","25,716","±2,010","6.3%","±0.5","13,714","±1,439","6.8%","±0.7","12,002","±1,238","5.8%","±0.6","4,366","±866","6.5%","±1.3","1,261","±653","3.6%","±1.9","3,105","±683","9.4%","±2.1","58,492","±2,755","5.9%","±0.3","30,686","±2,078","6.4%","±0.4","27,806","±2,145","5.3%","±0.4","13,187","±1,579","4.5%","±0.5","6,893","±1,166","4.8%","±0.8","6,294","±1,127","4.2%","±0.7"
"        10 to 14 years","10,111","±1,697","5.4%","±0.9","4,493","±1,045","5.0%","±1.2","5,618","±1,226","5.9%","±1.3","5,423","±850","6.5%","±1.0","2,763","±750","6.5%","±1.7","2,660","±541","6.5%","±1.3","5,636","±825","6.9%","±1.0","2,854","±688","7.1%","±1.7","2,782","±496","6.6%","±1.2","8,728","±1,213","8.0%","±1.1","4,414","±882","8.2%","±1.6","4,314","±720","7.7%","±1.3","7,261","±1,059","7.9%","±1.2","3,259","±664","7.4%","±1.5","4,002","±851","8.4%","±1.8","19,186","±1,894","7.5%","±0.7","9,247","±1,339","7.3%","±1.1","9,939","±1,094","7.7%","±0.8","6,630","±967","8.6%","±1.3","2,907","±577","7.5%","±1.5","3,723","±780","9.7%","±1.9","6,544","±1,246","6.2%","±1.2","3,690","±1,018","7.0%","±1.9","2,854","±683","5.4%","±1.3","18,455","±1,987","6.1%","±0.7","9,321","±1,574","6.3%","±1.1","9,134","±1,343","5.9%","±0.9","46,789","±2,987","6.5%","±0.4","22,404","±2,140","6.4%","±0.6","24,385","±2,078","6.6%","±0.6","9,836","±1,139","8.0%","±0.9","5,102","±845","8.5%","±1.4","4,734","±821","7.5%","±1.3","15,602","±1,568","6.8%","±0.7","9,331","±1,272","8.2%","±1.1","6,271","±1,084","5.5%","±1.0","8,642","±1,128","8.0%","±1.0","4,493","±682","8.4%","±1.3","4,149","±736","7.5%","±1.3","28,012","±2,010","6.8%","±0.5","13,791","±1,440","6.8%","±0.7","14,221","±1,237","6.8%","±0.6","4,126","±908","6.1%","±1.3","2,763","±735","8.0%","±2.1","1,363","±746","4.1%","±2.3","65,993","±2,787","6.6%","±0.3","33,150","±2,099","7.0%","±0.4","32,843","±2,146","6.3%","±0.4","16,137","±1,540","5.5%","±0.5","8,416","±1,116","5.9%","±0.8","7,721","±1,052","5.1%","±0.7"
"        15 to 19 years","17,912","±2,180","9.6%","±1.2","8,114","±1,364","9.0%","±1.5","9,798","±1,805","10.3%","±1.9","5,829","±838","7.0%","±1.0","2,691","±398","6.3%","±0.9","3,138","±688","7.6%","±1.7","6,156","±718","7.5%","±0.9","2,937","±380","7.3%","±0.9","3,219","±791","7.7%","±1.9","6,825","±541","6.2%","±0.5","3,599","±413","6.7%","±0.7","3,226","±309","5.8%","±0.6","5,323","±504","5.8%","±0.6","2,587","±409","5.9%","±0.9","2,736","±317","5.7%","±0.7","16,134","±974","6.3%","±0.4","9,282","±960","7.3%","±0.7","6,852","±512","5.3%","±0.4","5,023","±1,096","6.5%","±1.4","2,369","±794","6.1%","±2.1","2,654","±646","6.9%","±1.7","6,448","±455","6.1%","±0.4","3,231","±214","6.2%","±0.4","3,217","±312","6.1%","±0.6","20,256","±826","6.7%","±0.3","9,964","±633","6.8%","±0.4","10,292","±677","6.7%","±0.4","42,277","±932","5.9%","±0.1","22,354","±520","6.4%","±0.1","19,923","±886","5.4%","±0.2","8,113","±478","6.6%","±0.4","4,424","±463","7.4%","±0.8","3,689","±329","5.8%","±0.5","14,217","±947","6.2%","±0.4","7,890","±903","6.9%","±0.8","6,327","±192","5.6%","±0.2","6,578","±536","6.1%","±0.5","3,608","±480","6.7%","±0.9","2,970","±286","5.4%","±0.5","26,575","±725","6.5%","±0.2","13,477","±527","6.7%","±0.3","13,098","±684","6.3%","±0.3","4,306","±559","6.4%","±0.8","1,876","±69","5.4%","±0.2","2,430","±556","7.4%","±1.7","62,920","±738","6.3%","±0.1","32,243","±621","6.8%","±0.1","30,677","±398","5.9%","±0.1","14,865","±745","5.1%","±0.3","7,338","±349","5.1%","±0.2","7,527","±608","5.0%","±0.4"
"        20 to 24 years","21,354","±1,887","11.5%","±1.0","10,683","±847","11.8%","±0.9","10,671","±1,648","11.2%","±1.7","4,611","±847","5.5%","±1.0","3,062","±474","7.2%","±1.1","1,549","±633","3.8%","±1.5","8,315","±798","10.1%","±1.0","4,100","±431","10.2%","±1.0","4,215","±689","10.1%","±1.7","6,395","±664","5.8%","±0.6","2,947","±634","5.5%","±1.1","3,448","±787","6.2%","±1.4","5,475","±718","6.0%","±0.8","2,639","±455","6.0%","±1.0","2,836","±606","6.0%","±1.2","13,758","±950","5.4%","±0.4","6,829","±681","5.4%","±0.5","6,929","±642","5.4%","±0.5","4,462","±910","5.8%","±1.2","2,416","±439","6.2%","±1.1","2,046","±649","5.3%","±1.7","5,432","±189","5.2%","±0.2","2,783","±111","5.3%","±0.2","2,649","±152","5.0%","±0.3","30,311","±1,068","10.1%","±0.4","15,269","±893","10.4%","±0.6","15,042","±640","9.8%","±0.4","45,120","±1,030","6.3%","±0.1","21,219","±545","6.1%","±0.2","23,901","±790","6.5%","±0.2","8,381","±678","6.8%","±0.6","4,208","±362","7.0%","±0.6","4,173","±503","6.6%","±0.8","11,783","±618","5.2%","±0.3","5,944","±331","5.2%","±0.3","5,839","±507","5.1%","±0.4","6,004","±663","5.5%","±0.6","2,814","±321","5.3%","±0.6","3,190","±492","5.8%","±0.9","24,015","±823","5.9%","±0.2","12,508","±696","6.2%","±0.3","11,507","±450","5.5%","±0.2","3,031","±548","4.5%","±0.8","2,045","±138","5.9%","±0.4","986","±555","3.0%","±1.7","58,271","±722","5.8%","±0.1","28,408","±615","6.0%","±0.1","29,863","±395","5.7%","±0.1","17,812","±717","6.1%","±0.2","8,661","±260","6.1%","±0.2","9,151","±617","6.1%","±0.4"
"        25 to 29 years","14,154","±1,100","7.6%","±0.6","6,801","±780","7.5%","±0.9","7,353","±639","7.7%","±0.7","5,119","±452","6.1%","±0.5","2,665","±340","6.3%","±0.8","2,454","±296","6.0%","±0.7","5,354","±438","6.5%","±0.5","2,735","±311","6.8%","±0.8","2,619","±301","6.2%","±0.7","5,790","±482","5.3%","±0.4","2,796","±237","5.2%","±0.4","2,994","±429","5.4%","±0.8","5,391","±418","5.9%","±0.5","2,882","±326","6.6%","±0.7","2,509","±187","5.3%","±0.4","17,911","±937","7.0%","±0.4","8,456","±589","6.7%","±0.5","9,455","±810","7.3%","±0.6","5,108","±805","6.6%","±1.0","2,769","±405","7.1%","±1.1","2,339","±623","6.1%","±1.5","5,938","±136","5.6%","±0.1","3,031","±64","5.8%","±0.1","2,907","±104","5.5%","±0.2","22,900","±686","7.6%","±0.2","11,220","±435","7.6%","±0.3","11,680","±502","7.6%","±0.3","54,592","±456","7.6%","±0.1","26,878","±395","7.7%","±0.1","27,714","±300","7.5%","±0.1","8,416","±573","6.8%","±0.5","4,277","±374","7.1%","±0.6","4,139","±447","6.6%","±0.7","13,886","±722","6.1%","±0.3","7,566","±683","6.6%","±0.6","6,320","±234","5.6%","±0.2","6,475","±589","6.0%","±0.5","3,349","±418","6.3%","±0.8","3,126","±378","5.7%","±0.7","23,898","±857","5.8%","±0.2","12,166","±625","6.0%","±0.3","11,732","±440","5.6%","±0.2","4,990","±350","7.4%","±0.5","3,188","±349","9.2%","±1.0","1,802","±23","5.5%","±0.1","62,900","±101","6.3%","±0.1","31,016","±79","6.5%","±0.1","31,884","±63","6.1%","±0.1","29,127","±265","9.9%","±0.1","14,033","±50","9.8%","±0.1","15,094","±263","10.0%","±0.2"
"        30 to 34 years","13,811","±1,446","7.4%","±0.8","6,590","±834","7.3%","±1.0","7,221","±856","7.6%","±0.9","6,042","±731","7.2%","±0.9","2,833","±395","6.6%","±1.0","3,209","±549","7.8%","±1.3","5,008","±376","6.1%","±0.5","2,243","±129","5.6%","±0.3","2,765","±347","6.6%","±0.8","6,954","±695","6.3%","±0.6","3,402","±389","6.3%","±0.8","3,552","±490","6.4%","±0.9","5,780","±375","6.3%","±0.4","2,765","±207","6.3%","±0.5","3,015","±214","6.3%","±0.5","18,606","±1,224","7.3%","±0.5","9,692","±890","7.6%","±0.7","8,914","±659","6.9%","±0.5","5,232","±798","6.8%","±1.0","2,618","±493","6.8%","±1.3","2,614","±531","6.8%","±1.5","6,586","±293","6.3%","±0.3","3,442","±298","6.6%","±0.6","3,144","±85","6.0%","±0.2","18,794","±860","6.2%","±0.3","9,559","±634","6.5%","±0.4","9,235","±412","6.0%","±0.3","55,115","±561","7.7%","±0.1","26,557","±88","7.6%","±0.1","28,558","±557","7.7%","±0.1","8,622","±731","7.0%","±0.6","3,950","±381","6.6%","±0.6","4,672","±539","7.4%","±0.9","14,881","±573","6.5%","±0.3","7,356","±341","6.4%","±0.3","7,525","±399","6.6%","±0.4","7,199","±670","6.6%","±0.6","3,467","±396","6.5%","±0.8","3,732","±448","6.8%","±0.8","27,275","±923","6.7%","±0.2","13,147","±650","6.5%","±0.3","14,128","±775","6.8%","±0.4","3,881","±811","5.7%","±1.2","2,505","±141","7.2%","±0.5","1,376","±805","4.2%","±2.4","63,389","±160","6.4%","±0.1","30,617","±147","6.4%","±0.1","32,772","±62","6.3%","±0.1","29,419","±752","10.0%","±0.3","14,734","±617","10.3%","±0.4","14,685","±361","9.8%","±0.2"
"        35 to 39 years","13,198","±1,924","7.1%","±1.0","6,499","±1,205","7.2%","±1.3","6,699","±1,359","7.0%","±1.4","6,391","±875","7.6%","±1.0","3,729","±648","8.7%","±1.5","2,662","±647","6.5%","±1.6","4,439","±769","5.4%","±0.9","1,869","±591","4.6%","±1.5","2,570","±545","6.1%","±1.3","7,962","±1,394","7.3%","±1.3","4,180","±886","7.7%","±1.6","3,782","±781","6.8%","±1.4","4,644","±1,064","5.1%","±1.2","1,409","±581","3.2%","±1.3","3,235","±811","6.8%","±1.7","20,447","±1,930","8.0%","±0.8","10,105","±1,312","8.0%","±1.0","10,342","±1,198","8.0%","±0.9","5,067","±950","6.6%","±1.2","2,756","±653","7.1%","±1.7","2,311","±717","6.0%","±1.9","6,178","±1,177","5.9%","±1.1","3,107","±724","5.9%","±1.4","3,071","±767","5.8%","±1.4","19,036","±2,123","6.3%","±0.7","9,567","±1,308","6.5%","±0.9","9,469","±1,377","6.2%","±0.9","48,212","±3,034","6.7%","±0.4","24,810","±1,987","7.1%","±0.6","23,402","±2,147","6.3%","±0.6","8,648","±1,487","7.0%","±1.2","3,898","±922","6.5%","±1.5","4,750","±933","7.5%","±1.5","15,274","±1,564","6.7%","±0.7","6,788","±1,270","5.9%","±1.1","8,486","±1,167","7.5%","±1.0","8,152","±1,458","7.5%","±1.3","3,501","±849","6.5%","±1.6","4,651","±1,003","8.4%","±1.8","29,069","±2,658","7.1%","±0.6","15,405","±1,875","7.6%","±0.9","13,664","±1,449","6.6%","±0.7","4,931","±1,367","7.3%","±2.0","2,689","±828","7.8%","±2.4","2,242","±896","6.8%","±2.7","65,931","±3,632","6.6%","±0.4","31,863","±2,198","6.7%","±0.5","34,068","±2,594","6.5%","±0.5","23,365","±2,102","8.0%","±0.7","11,581","±1,566","8.1%","±1.1","11,784","±1,310","7.8%","±0.9"
