"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,29189,998954,1005676,"Missouri","MO",0.006729038574348811,"St. Louis County","St. Louis County","st-louis-county-mo",508,1979.6771653543308,0.16208291100570357,1,1979.6771653543308,508
2023,29095,674158,730119,"Missouri","MO",0.08300873089097816,"Jackson County","Jackson County","jackson-county-mo",604,1208.8062913907286,0.11767190715555834,2,1208.8062913907286,604
2023,29183,360485,418696,"Missouri","MO",0.1614796732180257,"St. Charles County","St. Charles County","st-charles-county-mo",560,747.6714285714286,0.06748044748651064,3,747.6714285714286,560
2023,29077,275174,306037,"Missouri","MO",0.1121581254042896,"Greene County","Greene County","greene-county-mo",675,453.38814814814816,0.04932340817067575,4,453.38814814814816,675
2023,29510,319294,296262,"Missouri","MO",-0.07213414595952317,"St. Louis City","St. Louis City","st-louis-city-mo",62,4778.419354838709,0.04774798979032189,5,4778.419354838709,62
2023,29047,221939,262755,"Missouri","MO",0.1839063886923884,"Clay County","Clay County","clay-county-mo",398,660.1884422110553,0.04234772956827412,6,660.1884422110553,398
2023,29099,218733,229142,"Missouri","MO",0.047587698243977794,"Jefferson County","Jefferson County","jefferson-county-mo",657,348.77016742770167,0.03693038552542661,7,348.77016742770167,657
2023,29019,162642,189901,"Missouri","MO",0.16760123461344545,"Boone County","Boone County","boone-county-mo",686,276.82361516034985,0.030605987298985077,8,276.82361516034985,686
2023,29097,117404,124369,"Missouri","MO",0.05932506558549955,"Jasper County","Jasper County","jasper-county-mo",638,194.93573667711598,0.02004431800984447,9,194.93573667711598,638
2023,29165,89322,111938,"Missouri","MO",0.25319630102326407,"Platte County","Platte County","platte-county-mo",420,266.5190476190476,0.018040837100772464,10,266.5190476190476,420
2023,29037,99478,110329,"Missouri","MO",0.10907939443897141,"Cass County","Cass County","cass-county-mo",697,158.2912482065997,0.01778151759448199,11,158.2912482065997,697
2023,29071,101492,105639,"Missouri","MO",0.04086036337839438,"Franklin County","Franklin County","franklin-county-mo",923,114.45178764897075,0.01702563910815364,12,114.45178764897075,923
2023,29043,77422,92268,"Missouri","MO",0.19175428172870768,"Christian County","Christian County","christian-county-mo",563,163.88632326820604,0.014870660165574458,13,163.88632326820604,563
2023,29031,75674,83522,"Missouri","MO",0.10370801067737934,"Cape Girardeau County","Cape Girardeau County","cape-girardeau-county-mo",579,144.25215889464593,0.013461083781474724,14,144.25215889464593,579
2023,29021,89201,83470,"Missouri","MO",-0.06424815865292988,"Buchanan County","Buchanan County","buchanan-county-mo",408,204.58333333333334,0.013452703039195603,15,204.58333333333334,408
2023,29051,75990,77666,"Missouri","MO",0.02205553362284518,"Cole County","Cole County","cole-county-mo",392,198.12755102040816,0.012517283266349176,16,198.12755102040816,392
2023,29187,65359,67390,"Missouri","MO",0.03107452684404599,"St. Francois County","St. Francois County","st-francois-county-mo",452,149.0929203539823,0.010861119657498404,17,149.0929203539823,452
2023,29113,52566,61677,"Missouri","MO",0.17332496290377808,"Lincoln County","Lincoln County","lincoln-county-mo",627,98.36842105263158,0.009940366183640437,18,98.36842105263158,627
2023,29145,58114,58807,"Missouri","MO",0.011924837388580967,"Newton County","Newton County","newton-county-mo",625,94.0912,0.009477813677081297,19,94.0912,625
2023,29213,51675,57383,"Missouri","MO",0.11045960328979199,"Taney County","Taney County","taney-county-mo",632,90.79588607594937,0.009248310273130002,20,90.79588607594937,632
2023,29169,52274,54459,"Missouri","MO",0.0417989822856486,"Pulaski County","Pulaski County","pulaski-county-mo",547,99.55941499085924,0.008777054688050238,21,99.55941499085924,547
2023,29101,52595,54439,"Missouri","MO",0.035060366955033784,"Johnson County","Johnson County","johnson-county-mo",829,65.66827503015682,0.008773831325635192,22,65.66827503015682,829
2023,29161,45156,44482,"Missouri","MO",-0.014926034192576876,"Phelps County","Phelps County","phelps-county-mo",672,66.19345238095238,0.007169080347304407,23,66.19345238095238,672
2023,29027,44332,44268,"Missouri","MO",-0.001443652440674903,"Callaway County","Callaway County","callaway-county-mo",835,53.01556886227545,0.007134590369463412,24,53.01556886227545,835
2023,29159,42201,43214,"Missouri","MO",0.024004170517286427,"Pettis County","Pettis County","pettis-county-mo",682,63.36363636363637,0.006964719170190473,25,63.36363636363637,682
2023,29029,44002,42367,"Missouri","MO",-0.03715740193627559,"Camden County","Camden County","camden-county-mo",656,64.58384146341463,0.006828209771913264,26,64.58384146341463,656
2023,29023,42794,41932,"Missouri","MO",-0.02014301070243496,"Butler County","Butler County","butler-county-mo",695,60.33381294964029,0.0067581016393860075,27,60.33381294964029,695
2023,29225,36202,39949,"Missouri","MO",0.10350256891884424,"Webster County","Webster County","webster-county-mo",593,67.36762225969646,0.00643850525593417,28,67.36762225969646,593
2023,29091,40400,39555,"Missouri","MO",-0.02091584158415838,"Howell County","Howell County","howell-county-mo",927,42.66990291262136,0.0063750050163577585,29,42.66990291262136,927
2023,29109,38634,37812,"Missouri","MO",-0.021276595744680882,"Lawrence County","Lawrence County","lawrence-county-mo",612,61.78431372549019,0.006094088981886476,30,61.78431372549019,612
2023,29201,39191,37720,"Missouri","MO",-0.03753412773340814,"Scott County","Scott County","scott-county-mo",420,89.80952380952381,0.006079261514777263,31,89.80952380952381,420
